time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18:26:44:9640,0.7835,-6.0959,4.3417,7.525
18:26:44:9730,-1.0736,-8.2528,4.9083,9.662
18:26:44:9880,-2.6672,-9.8578,4.9606,11.353
18:26:44:9920,-4.2363,-11.6601,4.5047,13.198
18:26:45:0010,-4.6603,-12.8644,3.9127,14.231
18:26:45:0150,-5.2268,-13.9001,3.1117,15.173
18:26:45:0210,-5.7179,-14.5827,2.3997,15.846
18:26:45:0320,-6.2544,-15.4853,1.8181,16.799
18:26:45:0420,-6.5817,-16.7809,1.6162,18.098
18:26:45:0520,-7.9451,-17.8318,1.6517,19.592
18:26:45:0640,-9.0891,-18.1700,1.6824,20.386
18:26:45:0720,-9.9959,-18.7518,1.4892,21.302
18:26:45:0869,-10.9847,-18.9715,1.2286,21.957
18:26:45:0930,-11.1141,-18.9924,1.0810,22.032
18:26:45:1010,-10.1143,-18.4083,1.1194,21.034
18:26:45:1120,-7.8695,-17.3695,1.4166,19.122
18:26:45:1220,-6.0295,-16.4832,2.0605,17.672
18:26:45:1330,-3.3634,-15.2866,2.8422,15.908
18:26:45:1429,-1.3514,-13.6535,2.8420,14.012
18:26:45:1530,-0.9960,-11.9781,2.7581,12.332
18:26:45:1650,-0.4669,-11.1697,1.6446,11.300
18:26:45:1719,-0.0181,-9.9252,-0.7624,9.954
18:26:45:1900,0.1398,-8.9040,-2.9221,9.372
18:26:45:1920,2.1416,-7.0559,-3.4873,8.157
18:26:45:2130,7.0789,-4.3217,-0.8742,8.340
18:26:45:2140,6.9162,-3.9566,-1.0100,8.032
18:26:45:2210,31.9060,6.9616,14.9296,35.908
18:26:45:2330,40.4421,14.1040,16.1131,45.761
18:26:45:2410,39.2362,17.3912,10.2143,44.116
18:26:45:2520,31.9731,18.4799,2.4719,37.012
18:26:45:2630,31.9539,18.7803,2.5251,37.150
18:26:45:2720,15.3072,15.1239,-0.9583,21.540
18:26:45:2810,12.1171,14.4612,0.6386,18.877
18:26:45:2930,10.8107,14.6041,3.2410,18.457
18:26:45:3010,10.0585,14.8577,4.5207,18.503
18:26:45:3120,10.0897,14.9746,4.6402,18.643
18:26:45:3210,6.6592,15.7481,4.1747,17.600
18:26:45:3320,3.8456,15.4411,3.0479,16.202
18:26:45:3410,0.4395,14.6551,2.2378,14.831
18:26:45:3520,-2.6920,13.7644,3.0547,14.354
18:26:45:3630,-4.1656,12.9488,4.3227,14.273
18:26:45:3720,-5.5593,12.3191,6.0519,14.809
18:26:45:3840,-6.6538,11.9039,7.4786,15.553
18:26:45:3920,-7.7428,11.4533,9.0419,16.519
18:26:45:4020,-8.8194,11.5386,9.7843,17.512
18:26:45:4130,-11.2570,11.5117,9.7361,18.816
18:26:45:4210,-12.9687,11.2403,10.1194,19.923
18:26:45:4330,-14.0982,11.0774,10.6992,20.879
18:26:45:4410,-13.8749,11.0120,11.4781,21.107
18:26:45:4510,-13.4736,11.2440,12.1038,21.318
18:26:45:4610,-12.3242,11.4326,12.2841,20.820
18:26:45:4720,-9.7963,11.7173,12.0909,19.479
18:26:45:4850,-7.3988,11.9804,11.4670,18.159
18:26:45:4920,-4.2346,12.1704,10.2340,16.456
18:26:45:5020,-1.9479,12.0932,9.4304,15.459
18:26:45:5120,0.8364,11.9336,8.8006,14.851
18:26:45:5220,3.1329,11.9217,8.2723,14.845
18:26:45:5320,5.8319,12.5580,7.5945,15.792
18:26:45:5430,7.1128,13.1503,6.9848,16.502
18:26:45:5520,7.2331,13.6009,6.3565,16.665
18:26:45:5620,7.8110,14.2191,5.9161,17.268
18:26:45:5729,11.1206,13.9966,7.7298,19.476
18:26:45:5850,14.4355,12.7002,9.3209,21.367
18:26:45:5920,18.5336,11.5669,9.8462,23.963
18:26:45:6080,21.2081,10.7216,9.2525,25.502
18:26:45:6140,21.9157,8.6943,7.0691,24.614
18:26:45:6210,19.8773,6.1234,5.2106,21.442
18:26:45:6330,16.2720,3.2529,3.3053,16.920
18:26:45:6410,13.1892,0.9443,2.4640,13.451
18:26:45:6530,10.0089,-0.6873,2.6485,10.376
18:26:45:6650,8.2791,-1.6239,3.3095,9.063
18:26:45:6730,6.2937,-3.0612,4.1869,8.155
18:26:45:6879,4.7735,-4.6874,5.0722,8.396
18:26:45:6919,2.5702,-6.8607,5.8445,9.372
18:26:45:7170,0.8290,-8.5398,5.6943,10.298
18:26:45:7190,-1.5783,-10.5159,4.5056,11.549
18:26:45:7230,-3.4641,-12.1816,3.2834,13.083
18:26:45:7440,-5.3489,-14.2889,2.2458,15.422
18:26:45:7460,-6.7071,-16.0093,2.1664,17.492
18:26:45:7620,-7.8680,-17.3806,1.9546,19.178
18:26:45:7620,-9.2591,-18.7268,1.1420,20.922
18:26:45:7720,-11.0466,-20.0218,0.1540,22.868
18:26:45:7820,-12.8066,-20.6200,-0.6944,24.283
18:26:45:7920,-14.5256,-20.9057,-1.9436,25.531
18:26:45:8010,-15.5859,-20.5859,-2.8367,25.976
18:26:45:8120,-16.1126,-20.1256,-3.5141,26.019
18:26:45:8320,-15.7461,-19.7482,-3.4309,25.489
18:26:45:8330,-13.7446,-19.1677,-2.0679,23.677
18:26:45:8420,-11.0354,-18.1425,-0.5221,21.242
18:26:45:8520,-8.2692,-17.0803,1.1035,19.009
18:26:45:8610,-5.0612,-15.8189,2.6674,16.822
18:26:45:8730,-2.8319,-14.2706,4.1856,15.139
18:26:45:8850,-0.9928,-12.9899,4.2564,13.705
18:26:45:8920,-0.0791,-11.2962,3.6284,11.865
18:26:45:9090,0.7436,-9.9893,1.7207,10.164
18:26:45:9120,2.2423,-8.0341,-1.6390,8.501
18:26:45:9210,3.3426,-6.5638,-3.8434,8.308
18:26:45:9360,6.3914,-4.9350,-3.9585,8.993
18:26:45:9410,14.3197,-2.6522,-0.1329,14.564
18:26:45:9520,23.9842,0.7611,7.6207,25.177
18:26:45:9610,31.3160,5.0602,12.2878,34.019
18:26:45:9730,38.6530,11.9060,15.6976,43.385
18:26:45:9810,39.0846,16.5860,15.7502,45.285
18:26:45:9930,32.7024,17.2455,12.3363,38.975
18:26:46:0010,26.3813,16.5973,9.5175,32.589
18:26:46:0120,19.5443,15.0167,5.6059,25.277
18:26:46:0210,16.1794,14.3755,2.9528,21.844
18:26:46:0320,13.7956,14.6978,1.6596,20.226
18:26:46:0410,12.1627,15.2825,2.1949,19.655
18:26:46:0530,9.7719,15.3127,2.8121,18.381
18:26:46:0610,6.6814,14.9312,3.7244,16.777
18:26:46:0720,3.2872,14.0976,5.5678,15.510
18:26:46:0820,0.6864,13.4277,6.8120,15.072
18:26:46:0920,-2.0307,12.7600,8.0983,15.249
18:26:46:1019,-4.0259,12.2547,8.7339,15.578
18:26:46:1130,-6.6516,11.9389,9.4951,16.641
18:26:46:1210,-8.4034,11.8777,9.7830,17.533
18:26:46:1330,-10.1173,12.5543,8.5835,18.266
18:26:46:1419,-10.8619,13.0633,7.5231,18.580
18:26:46:1520,-11.3396,13.7132,6.7443,19.030
18:26:46:1620,-11.9178,13.9431,6.1617,19.350
18:26:46:1729,-12.7650,13.4167,6.8348,19.740
18:26:46:1840,-12.9803,12.7108,8.7318,20.157
18:26:46:1930,-13.0795,11.6766,11.1536,20.780
18:26:46:2090,-13.2665,10.5274,13.0751,21.396
18:26:46:2120,-12.3748,9.7156,15.4906,22.079
18:26:46:2210,-9.8663,10.0543,16.4371,21.647
18:26:46:2320,-6.0459,10.8370,15.3139,19.711
18:26:46:2420,-2.8397,11.5730,12.1213,16.998
18:26:46:2520,0.4111,12.2758,8.4872,14.930
18:26:46:2630,3.3444,12.8055,5.3364,14.270
18:26:46:2730,5.3963,12.9650,3.9130,14.578
18:26:46:2849,6.0883,13.1301,4.2531,15.085
18:26:46:2930,6.0830,13.2640,5.7016,15.667
18:26:46:3100,6.8989,13.6095,7.5420,17.020
18:26:46:3120,12.3757,14.6524,11.1066,22.163
18:26:46:3230,17.8491,14.6793,12.7844,26.410
18:26:46:3330,23.6304,14.0993,11.6548,29.883
18:26:46:3420,26.3407,12.3845,8.5680,30.342
18:26:46:3530,24.6320,9.4064,3.7850,26.637
18:26:46:3610,20.1082,5.4925,0.9887,20.868
18:26:46:3730,15.3783,1.5045,0.3930,15.457
18:26:46:3820,12.2414,-1.0767,1.0200,12.331
18:26:46:3930,8.1312,-3.8493,1.5629,9.131
18:26:46:4120,5.0407,-5.3677,1.8300,7.588
18:26:46:4130,5.1545,-5.5893,1.7832,7.810
18:26:46:4320,1.0051,-7.2116,2.9373,7.851
18:26:46:4330,-0.3713,-7.8860,4.1800,8.933
18:26:46:4420,-1.2273,-8.6961,4.6037,9.916
18:26:46:4520,-2.7449,-9.8615,4.4853,11.176
18:26:46:4610,-4.2753,-11.0088,3.6427,12.359
18:26:46:4730,-5.4511,-12.0411,2.8872,13.529
18:26:46:4920,-6.1042,-12.7485,2.1972,14.304
18:26:46:4930,-6.5599,-13.5733,1.6747,15.168
18:26:46:5020,-6.9217,-14.1769,1.5512,15.852
18:26:46:5120,-7.5275,-15.0688,1.7481,16.935
18:26:46:5220,-8.2652,-15.6879,1.7097,17.814
18:26:46:5330,-9.5024,-16.2159,1.3890,18.846
18:26:46:5410,-10.4839,-16.5071,0.5580,19.563
18:26:46:5530,-11.7624,-16.6510,-0.7444,20.400
18:26:46:5620,-12.7272,-16.6251,-1.7003,21.006
18:26:46:5719,-12.8955,-16.5737,-2.3014,21.125
18:26:46:5880,-11.8174,-16.5339,-1.9821,20.419
18:26:46:5970,-9.7388,-15.8456,-0.5679,18.608
18:26:46:6010,-7.6861,-15.3720,0.6261,17.198
18:26:46:6130,-5.4927,-14.9248,1.8820,16.014
18:26:46:6220,-3.4201,-13.6725,2.1905,14.263
18:26:46:6330,-0.3462,-11.6372,0.9662,11.682
18:26:46:6410,1.4428,-10.5059,-1.3950,10.696
18:26:46:6530,2.8000,-9.0372,-4.9004,10.655
18:26:46:6610,4.2244,-6.9963,-6.2775,10.305
18:26:46:6730,11.3389,-3.4899,-4.2228,12.593
18:26:46:6860,19.7783,-0.2753,1.5660,19.842
18:26:46:6939,29.4256,3.6303,10.4635,31.441
18:26:46:7120,36.7929,8.8793,18.7003,42.217
18:26:46:7130,34.9772,12.1501,18.0515,41.193
18:26:46:7210,28.7413,12.8003,12.5305,33.866
18:26:46:7330,19.8787,12.8888,5.4291,24.306
18:26:46:7430,16.5808,13.2092,1.9884,21.292
18:26:46:7520,14.1822,14.5558,0.1669,20.323
18:26:46:7610,12.9685,15.8378,0.2626,20.472
18:26:46:7730,11.6616,16.3175,2.3958,20.199
18:26:46:7820,8.7248,15.9852,4.8437,18.844
18:26:46:7940,5.3350,15.2831,7.6704,17.913
18:26:46:8149,2.3469,14.4525,9.8722,17.659
18:26:46:8159,-1.4153,13.3501,11.7004,17.808
18:26:46:8210,-3.8368,12.6465,11.4697,17.499
18:26:46:8350,-5.7270,12.1737,9.6484,16.556
18:26:46:8420,-6.2676,12.2366,8.3194,16.069
18:26:46:8520,-6.7993,12.6279,6.4913,15.743
18:26:46:8630,-7.9518,12.6680,5.3535,15.886
18:26:46:8730,-9.2950,12.5244,4.7621,16.308
18:26:46:8860,-11.0900,12.2337,4.8165,17.200
18:26:46:8930,-12.9573,11.7082,6.0290,18.475
18:26:46:9090,-13.7799,11.4899,8.4715,19.841
18:26:46:9120,-13.5443,11.5498,10.5558,20.695
18:26:46:9220,-13.6226,11.7778,12.2136,21.759
18:26:46:9320,-12.3263,12.3601,14.1768,22.488
18:26:46:9410,-10.4075,13.2103,14.5171,22.217
18:26:46:9520,-8.3656,13.6501,12.7751,20.482
18:26:46:9610,-5.6082,14.2546,10.6457,18.654
18:26:46:9720,-5.5908,14.1345,10.6506,18.560
18:26:46:9830,1.6385,15.2231,9.1666,17.845
18:26:46:9930,3.6615,14.7200,9.0315,17.654
18:26:47:0140,4.3968,14.3400,9.3860,17.694
18:26:47:0160,4.4691,14.6278,10.9682,18.821
18:26:47:0210,6.9956,16.1108,13.0043,21.854
18:26:47:0340,11.2306,17.9381,14.3396,25.564
18:26:47:0420,14.2083,17.3100,15.0180,26.964
18:26:47:0530,18.5570,15.8967,14.2444,28.284
18:26:47:0620,21.0688,14.1086,12.5321,28.284
18:26:47:0730,21.4584,11.2250,10.8747,26.547
18:26:47:0820,18.8013,6.8225,9.5415,22.160
18:26:47:0940,15.0664,1.9843,8.5909,17.457
18:26:47:1110,12.7603,-1.1630,7.5297,14.862
18:26:47:1120,9.9090,-4.0769,5.4663,12.029
18:26:47:1210,7.4098,-5.5686,3.5130,9.912
18:26:47:1370,5.0875,-6.6484,1.7633,8.555
18:26:47:1409,4.0639,-7.2078,1.8528,8.479
18:26:47:1580,2.8815,-8.3907,3.0793,9.391
18:26:47:1620,1.7018,-9.5920,4.0568,10.553
18:26:47:1719,-0.2014,-11.1536,4.4036,11.993
18:26:47:1810,-2.1557,-12.9617,4.3326,13.836
18:26:47:1920,-4.2719,-14.5001,3.8900,15.609
18:26:47:2010,-6.2690,-15.9248,2.6669,17.321
18:26:47:2130,-7.5096,-17.3687,1.1172,18.956
18:26:47:2220,-7.9222,-17.8153,0.0759,19.497
18:26:47:2340,-8.3794,-18.2377,-1.5211,20.128
18:26:47:2410,-8.6806,-18.5942,-2.5992,20.685
18:26:47:2530,-10.2361,-18.5857,-2.8815,21.413
18:26:47:2620,-11.9492,-18.7532,-2.8227,22.415
18:26:47:2730,-13.5690,-19.3759,-2.6250,23.800
18:26:47:2819,-13.7169,-18.8355,-2.0189,23.388
18:26:47:2940,-12.4529,-18.1343,-0.2008,21.999
18:26:47:3130,-10.0645,-17.5649,1.9564,20.338
18:26:47:3140,-7.0547,-16.4018,3.7854,18.252
18:26:47:3230,-4.7809,-15.3504,4.2508,16.630
18:26:47:3340,-2.1852,-14.0969,4.0141,14.819
18:26:47:3420,-0.0273,-12.5782,3.2747,12.997
18:26:47:3520,0.5598,-11.3402,1.0255,11.400
18:26:47:3620,-0.4963,-11.6515,-1.9677,11.827
18:26:47:3730,-1.0058,-12.0204,-4.1955,12.771
18:26:47:3820,1.0132,-10.4912,-3.8553,11.223
18:26:47:3930,9.7808,-7.5241,-0.5439,12.352
18:26:47:4110,21.0135,-3.4325,4.5631,21.775
18:26:47:4130,34.9573,2.9850,12.0262,37.088
18:26:47:4210,42.4629,9.8645,17.6480,47.030
18:26:47:4340,37.5957,13.2823,14.5115,42.432
18:26:47:4410,29.7001,12.9962,9.5308,33.791
18:26:47:4520,20.4892,12.2811,2.2589,23.994
18:26:47:4620,16.9357,12.1953,-1.1888,20.903
18:26:47:4720,18.0835,14.2343,-1.4683,23.060
18:26:47:4810,19.6493,16.0689,-0.0923,25.383
18:26:47:4940,19.1603,17.5170,1.4495,26.001
18:26:47:5160,16.5513,17.9177,2.7976,24.552
18:26:47:5180,11.1390,16.9964,5.8815,21.155
18:26:47:5220,6.8604,15.7977,8.3553,19.143
18:26:47:5310,2.6716,14.6858,10.5825,18.298
18:26:47:5410,0.5630,14.7187,11.8912,18.930
18:26:47:5530,-1.4475,15.1455,11.8281,19.271
18:26:47:5610,-2.7048,15.4649,10.8174,19.066
18:26:47:5729,-4.7071,16.0167,8.9270,18.931
18:26:47:5810,-6.0944,16.1992,7.3463,18.802
18:26:47:5920,-7.6987,16.3687,6.0353,19.069
18:26:47:6100,-8.8580,16.5616,5.6639,19.617
18:26:47:6120,-11.0172,16.0184,5.6964,20.259
18:26:47:6220,-12.8817,15.1549,7.0469,21.101
18:26:47:6330,-13.3618,14.2632,9.6504,21.797
18:26:47:6420,-12.1654,14.2143,12.9485,22.753
18:26:47:6520,-9.6511,14.7269,15.3192,23.339
18:26:47:6610,-7.3879,14.8676,14.4467,22.008
18:26:47:6730,-2.8355,15.9475,12.7406,20.608
18:26:47:6820,0.3123,16.7538,10.1891,19.611
18:26:47:6959,1.5634,16.2476,7.0412,17.777
18:26:47:7120,2.5019,15.3989,5.9145,16.684
18:26:47:7130,3.2101,13.9375,6.9103,15.884
18:26:47:7230,3.5003,12.1380,9.0516,15.541
18:26:47:7340,3.3642,11.0355,11.6961,16.429
18:26:47:7420,4.2350,11.1734,13.6323,18.128
18:26:47:7530,8.6143,12.7604,15.3012,21.706
18:26:47:7620,12.8890,13.0236,14.4605,23.342
18:26:47:7730,15.9328,10.8077,11.6937,22.526
18:26:47:7820,17.3386,9.2809,8.5115,21.429
18:26:47:7930,18.9206,8.0627,6.1723,21.473
18:26:47:8139,18.7352,5.9788,5.2070,20.344
18:26:47:8149,16.9279,2.5912,5.7404,18.062
18:26:47:8220,14.8031,0.0458,6.0622,15.996
18:26:47:8320,11.5343,-2.8842,6.0038,13.319
18:26:47:8410,8.7944,-4.6833,5.3868,11.327
18:26:47:8550,5.6424,-5.9252,4.6667,9.419
18:26:47:8610,3.7444,-6.3892,4.5433,8.688
18:26:47:8740,1.8072,-7.3376,5.2314,9.191
18:26:47:8830,0.4857,-8.3694,5.8283,10.210
18:26:47:9040,-1.0867,-9.7411,6.0624,11.525
18:26:47:9050,-2.5365,-11.0297,5.4208,12.549
18:26:47:9230,-4.3673,-12.4123,4.3014,13.843
18:26:47:9260,-6.3152,-13.4935,3.2849,15.256
18:26:47:9320,-7.7772,-14.5690,2.6344,16.724
18:26:47:9430,-7.7966,-15.6124,2.3150,17.604
18:26:47:9530,-7.8092,-16.8790,2.2130,18.729
18:26:47:9620,-7.8022,-17.4519,1.6897,19.191
18:26:47:9720,-8.4832,-17.8666,0.3618,19.782
18:26:47:9820,-9.9376,-17.7886,-1.2780,20.416
18:26:47:9930,-11.6087,-17.7376,-2.7714,21.379
18:26:48:0090,-12.5307,-17.8502,-3.3808,22.070
18:26:48:0120,-12.2174,-17.8122,-2.9445,21.799
18:26:48:0210,-11.4492,-17.7013,-1.5397,21.137
18:26:48:0340,-10.2928,-17.8890,0.0446,20.639
18:26:48:0420,-8.5109,-17.5422,1.6427,19.567
18:26:48:0530,-6.1264,-16.3630,3.0479,17.736
18:26:48:0620,-3.5528,-15.6035,2.8189,16.249
18:26:48:0730,0.4594,-13.8399,2.6528,14.099
18:26:48:0830,4.1830,-11.2472,1.3055,12.071
18:26:48:0950,5.8433,-9.2068,-2.6827,11.230
18:26:48:1110,5.5240,-8.8122,-6.5480,12.290
18:26:48:1120,6.6249,-6.3864,-6.0662,11.022
18:26:48:1230,12.4958,-3.6310,-1.0087,13.052
18:26:48:1330,22.2734,0.5225,7.7196,23.579
18:26:48:1409,29.7280,4.3426,15.4221,33.771
18:26:48:1550,33.9329,9.9257,20.7607,41.000
18:26:48:1620,32.9669,13.4369,18.7281,40.226
18:26:48:1739,27.3647,16.4567,10.3765,33.576
18:26:48:1820,22.8879,18.3368,3.7759,29.569
18:26:48:1930,20.2635,20.4096,-1.0219,28.779
18:26:48:2130,19.5357,21.4112,-1.4104,29.019
18:26:48:2140,17.5816,21.3632,0.9260,27.683
18:26:48:2220,13.7375,20.1644,3.8474,24.701
18:26:48:2330,8.7296,18.8399,6.1576,21.658
18:26:48:2430,5.3554,17.9565,7.3286,20.120
18:26:48:2520,1.9527,17.1259,7.7396,18.895
18:26:48:2610,-0.1506,16.6743,7.4849,18.278
18:26:48:2720,-2.4263,16.0670,6.7072,17.579
18:26:48:2819,-4.2539,15.4470,5.9227,17.082
18:26:48:2930,-6.5222,14.9150,5.2949,17.118
18:26:48:3010,-6.4886,14.8199,5.3838,17.050
18:26:48:3180,-9.6823,14.1400,5.8960,18.123
18:26:48:3210,-10.4700,13.9228,6.7314,18.676
18:26:48:3330,-11.0088,13.7315,7.9829,19.325
18:26:48:3420,-10.7516,13.7219,8.9115,19.578
18:26:48:3530,-11.6900,13.2771,9.5493,20.103
18:26:48:3610,-11.6719,13.2410,10.5076,20.542
18:26:48:3730,-10.5086,13.3703,11.6169,20.595
18:26:48:3830,-9.0000,13.2856,11.9780,20.024
18:26:48:3940,-6.2531,13.3927,11.9576,19.012
18:26:48:4120,-2.2007,13.9040,11.4490,18.145
18:26:48:4130,1.4138,14.0938,9.8584,17.257
18:26:48:4210,3.2380,13.6141,7.4011,15.830
18:26:48:4320,4.2969,13.2108,5.3633,14.891
18:26:48:4410,6.1911,13.4933,4.7127,15.576
18:26:48:4530,7.8257,14.4249,6.0605,17.494
18:26:48:4620,8.4795,15.0935,7.8612,19.014
18:26:48:4730,10.9901,15.9633,9.6197,21.637
18:26:48:4820,13.8117,15.4121,10.8663,23.375
18:26:48:4940,15.7948,13.4027,12.2391,24.060
18:26:48:5120,16.7549,10.7518,11.6308,23.057
18:26:48:5130,17.6884,8.1570,10.0694,21.927
18:26:48:5220,17.5280,5.6205,7.5677,19.902
18:26:48:5330,15.8059,2.5936,4.5525,16.652
18:26:48:5420,13.9721,0.1545,2.5789,14.209
18:26:48:5530,14.1059,0.0126,2.6759,14.357
18:26:48:5620,7.7379,-4.1983,-0.2975,8.808
18:26:48:5729,4.6372,-5.7435,0.4151,7.394
18:26:48:5810,2.8392,-6.8317,2.1223,7.697
18:26:48:5940,1.0099,-8.4002,4.5851,9.623
18:26:48:6020,-0.2790,-9.8438,6.1672,11.619
18:26:48:6130,-2.2379,-11.3725,7.5640,13.840
18:26:48:6300,-3.9996,-12.6135,7.6709,15.295
18:26:48:6320,-5.3253,-13.4143,6.8125,15.960
18:26:48:6420,-6.1185,-13.9288,5.3368,16.122
18:26:48:6550,-5.9315,-14.3610,3.7667,15.988
18:26:48:6620,-5.7852,-14.5872,2.8386,15.947
18:26:48:6720,-5.9549,-15.0000,1.3400,16.194
18:26:48:6820,-6.3469,-15.4711,0.7232,16.738
18:26:48:6929,-8.2314,-16.1114,0.5239,18.100
18:26:48:7010,-10.3136,-16.8137,0.8081,19.741
18:26:48:7130,-13.0318,-17.7024,1.2497,22.017
18:26:48:7220,-14.6125,-18.0551,1.5975,23.282
18:26:48:7320,-15.0631,-18.0516,1.8652,23.585
18:26:48:7410,-14.2070,-17.5941,1.9083,22.694
18:26:48:7530,-12.1137,-16.6533,1.6800,20.661
18:26:48:7620,-9.0968,-15.2726,1.3601,17.828
18:26:48:7720,-5.5622,-13.6694,1.2213,14.808
18:26:48:7830,-3.0618,-12.7046,1.1450,13.118
18:26:48:7980,-1.1766,-10.9786,0.5933,11.057
18:26:48:8020,0.2481,-9.6791,-0.3516,9.689
18:26:48:8179,1.3439,-8.8031,-2.0609,9.140
18:26:48:8380,2.2991,-7.7581,-3.0203,8.637
18:26:48:8390,6.7567,-5.1039,-1.5501,8.608
18:26:48:8420,14.3700,-1.4951,1.2901,14.505
18:26:48:8570,23.9002,3.9849,4.8483,24.710
18:26:48:8620,23.7716,4.3550,4.6626,24.613
18:26:48:8760,36.3584,12.7034,13.7532,40.896
18:26:48:8810,34.7176,15.4099,16.5590,41.436
18:26:48:8930,27.6239,15.8457,14.8189,35.125
18:26:48:9020,23.0791,15.7277,11.3087,30.131
18:26:48:9120,20.2494,16.7783,5.7327,26.915
18:26:48:9270,18.8096,18.1007,1.1717,26.131
18:26:48:9330,17.5904,19.2639,-1.3349,26.121
18:26:48:9410,14.6322,19.0900,-1.2768,24.086
18:26:48:9540,10.6386,17.1722,0.9181,20.221
18:26:48:9610,7.2851,15.4624,3.0918,17.370
18:26:48:9730,2.8096,13.5488,4.4290,14.529
18:26:48:9820,-0.4636,12.3652,4.9679,13.334
18:26:48:9930,-3.6027,11.3619,5.7309,13.226
18:26:49:0010,-5.2336,11.0431,6.4996,13.841
18:26:49:0130,-7.1646,11.1214,7.6513,15.283
18:26:49:0210,-8.1136,11.2807,7.8523,15.961
18:26:49:0320,-9.2241,11.7884,7.2855,16.647
18:26:49:0410,-10.3463,11.9228,6.7878,17.184
18:26:49:0540,-11.5820,11.9228,6.7631,17.945
18:26:49:0610,-13.2619,11.4353,7.5318,19.062
18:26:49:0740,-14.7325,10.6992,9.9636,20.756
18:26:49:0820,-15.3219,9.8637,12.4716,22.082
18:26:49:0930,-15.1281,9.3426,16.7613,24.435
18:26:49:1019,-14.2823,9.1564,19.4041,25.775
18:26:49:1130,-12.2059,9.3094,20.5815,25.676
18:26:49:1320,-9.5984,9.7357,18.9491,23.366
18:26:49:1340,-5.5056,10.6724,15.3460,19.486
18:26:49:1409,-5.5267,10.6454,15.3003,19.441
18:26:49:1540,0.6998,12.2364,7.0856,14.157
18:26:49:1610,2.8648,12.8642,4.5575,13.945
18:26:49:1729,2.8482,12.7366,4.4851,13.800
18:26:49:1810,4.5392,14.9209,4.2915,16.176
18:26:49:1930,7.1715,16.6460,6.3919,19.219
18:26:49:2010,9.4647,17.4236,7.9589,21.366
18:26:49:2150,14.0637,16.5315,9.6469,23.752
18:26:49:2210,18.3552,15.3938,9.9853,25.954
18:26:49:2320,22.1848,14.1145,8.8213,27.734
18:26:49:2410,22.0283,11.4604,5.8517,25.511
18:26:49:2530,18.5906,7.8568,2.8168,20.378
18:26:49:2620,15.7866,5.1516,1.2381,16.652
18:26:49:2730,12.7130,2.3222,0.6074,12.938
18:26:49:2819,10.8635,0.6014,0.7344,10.905
18:26:49:2930,8.3264,-1.0924,0.9888,8.456
18:26:49:3010,6.8828,-2.0488,1.3342,7.304
18:26:49:3190,5.1568,-3.2365,2.1357,6.452
18:26:49:3430,3.8965,-4.5631,3.0284,6.721
18:26:49:3439,1.8076,-6.1118,4.2291,7.649
18:26:49:3439,-0.4835,-7.8755,4.8658,9.270
18:26:49:3520,-3.2195,-9.9698,4.7679,11.511
18:26:49:3620,-5.9179,-11.5908,4.3224,13.713
18:26:49:3790,-7.7387,-12.8461,3.6314,15.430
18:26:49:3810,-8.2746,-13.8351,3.1940,16.434
18:26:49:3920,-8.4466,-15.1876,2.5536,17.565
18:26:49:4020,-8.3435,-16.3085,2.1650,18.446
18:26:49:4120,-9.2818,-17.2579,1.8526,19.683
18:26:49:4240,-10.6028,-17.7256,1.5023,20.709
18:26:49:4330,-12.6332,-18.4321,1.0718,22.372
18:26:49:4410,-14.5770,-19.1484,1.1845,24.095
18:26:49:4520,-16.3150,-19.6983,0.9189,25.594
18:26:49:4610,-17.3261,-20.0961,0.7958,26.546
18:26:49:4750,-17.0310,-20.4168,1.3605,26.622
18:26:49:4810,-15.4504,-19.9997,2.2714,25.374
18:26:49:4920,-11.4651,-18.8603,3.3024,22.317
18:26:49:5030,-7.9578,-17.3659,3.3669,19.397
18:26:49:5120,-2.0751,-14.9755,3.3155,15.478
18:26:49:5360,1.8294,-12.8341,3.4048,13.403
18:26:49:5370,4.8038,-10.0201,2.8154,11.463
18:26:49:5410,5.4618,-8.7289,0.4258,10.306
18:26:49:5520,3.9916,-8.8215,-2.9757,10.129
18:26:49:5620,3.5072,-8.4456,-4.0422,9.998
18:26:49:5740,7.6286,-6.6106,-1.7447,10.244
18:26:49:5820,17.5257,-4.1430,3.6105,18.367
18:26:49:6000,30.3313,1.4193,10.8218,32.235
18:26:49:6010,37.3224,6.7133,15.7072,41.046
18:26:49:6170,39.8489,12.6154,16.1165,44.798
18:26:49:6220,37.4539,15.2885,12.3235,42.290
18:26:49:6320,30.7928,16.6416,6.1412,35.537
18:26:49:6410,25.7241,17.1250,2.3882,30.995
18:26:49:6520,22.6323,18.2801,0.5546,29.098
18:26:49:6610,20.9218,19.6465,1.0144,28.718
18:26:49:6730,20.9738,19.8063,1.0965,28.869
18:26:49:6820,14.8926,20.1266,3.2018,25.241
18:26:49:6929,10.0400,19.2062,3.4814,21.950
18:26:49:7020,6.2111,18.3418,4.8231,19.957
18:26:49:7120,2.0883,17.0518,6.1476,18.246
18:26:49:7300,-0.2468,16.4816,6.6083,17.759
18:26:49:7330,-3.0579,15.7085,6.3053,17.201
18:26:49:7410,-4.8530,15.1267,6.2860,17.085
18:26:49:7530,-6.8175,14.7442,6.2772,17.415
