time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18:26:10:5410,0.7940,0.9280,-1.9454,2.297
18:26:10:5520,4.8099,1.2278,-0.7156,5.015
18:26:10:5610,9.2064,1.5619,1.2671,9.423
18:26:10:5709,11.9607,1.4744,2.4310,12.294
18:26:10:5810,11.7743,0.3149,2.0319,11.952
18:26:10:5920,9.6471,-1.1888,0.5317,9.735
18:26:10:6000,7.6605,-2.0484,-1.0159,7.994
18:26:10:6120,5.8489,-2.6890,-1.8757,6.705
18:26:10:6210,4.5222,-3.2405,-1.9512,5.896
18:26:10:6310,3.2263,-3.9083,-1.7221,5.353
18:26:10:6400,2.5362,-4.4547,-1.3059,5.290
18:26:10:6520,2.0427,-5.2209,-0.7313,5.654
18:26:10:6610,1.4485,-6.0163,-0.5347,6.211
18:26:10:6720,0.6861,-7.0477,-0.5598,7.103
18:26:10:6810,-0.7090,-7.6790,0.1159,7.713
18:26:10:6909,0.2770,-9.1295,-2.5394,9.480
18:26:10:7030,-1.5271,-9.6882,-2.3066,10.075
18:26:10:7110,-1.5284,-10.0665,-1.7009,10.323
18:26:10:7250,-1.5929,-10.4650,-0.6480,10.605
18:26:10:7330,-1.8472,-10.5866,0.1557,10.748
18:26:10:7400,-2.3629,-10.7820,0.1763,11.039
18:26:10:7520,-2.8225,-11.1127,-0.2550,11.468
18:26:10:7620,-2.9240,-11.0947,-0.4732,11.483
18:26:10:7710,-3.9747,-11.0552,-0.6435,11.766
18:26:10:7870,-5.4262,-11.6860,-0.7345,12.905
18:26:10:7910,-6.5209,-12.3059,-0.5204,13.937
18:26:10:8010,-6.3784,-12.2688,-0.0434,13.828
18:26:10:8110,-5.5269,-12.0306,0.7514,13.261
18:26:10:8220,-4.5921,-11.8457,0.8596,12.734
18:26:10:8320,-3.3767,-10.9660,1.0776,11.525
18:26:10:8410,-2.1101,-10.0435,1.3360,10.349
18:26:10:8550,-0.5388,-8.9837,1.0049,9.056
18:26:10:8600,0.4193,-8.1578,0.7482,8.203
18:26:10:8760,1.2815,-6.7165,0.6325,6.867
18:26:10:8800,2.2995,-4.9999,1.5730,5.724
18:26:10:8920,5.4984,-2.6314,3.0611,6.821
18:26:10:9020,11.1783,0.7874,5.2658,12.382
18:26:10:9130,20.0237,5.7028,7.1253,22.006
18:26:10:9230,25.1813,10.2216,6.6883,27.988
18:26:10:9340,27.3298,13.3364,2.6574,30.526
18:26:10:9410,21.6725,13.6826,-0.1309,25.631
18:26:10:9520,16.0543,12.8994,-2.5488,20.752
18:26:10:9600,12.7278,11.9136,-2.1277,17.563
18:26:10:9720,9.8632,11.4502,-1.1302,15.155
18:26:10:9800,7.9801,11.4574,-0.7270,13.981
18:26:10:9910,6.7947,11.9114,-1.0487,13.753
18:26:11:0010,5.8294,12.5548,-2.3078,14.033
18:26:11:0110,4.2619,12.9592,-3.4620,14.074
18:26:11:0240,2.8770,12.8431,-3.4479,13.606
18:26:11:0350,1.3580,12.3555,-2.4770,12.674
18:26:11:0400,0.2884,11.7193,-1.5137,11.820
18:26:11:0530,-1.3980,10.7749,-0.5262,10.878
18:26:11:0610,-2.7008,9.6477,-0.1125,10.019
18:26:11:0720,-4.2158,8.3702,0.5556,9.388
18:26:11:0820,-5.2890,7.2071,1.2806,9.031
18:26:11:0980,-6.3125,5.9624,1.9491,8.899
18:26:11:1019,-7.0150,5.0272,2.2654,8.923
18:26:11:1110,-7.5659,4.0880,2.2793,8.897
18:26:11:1240,-7.5577,3.3054,2.3243,8.570
18:26:11:1340,-7.4769,2.4236,2.4823,8.243
18:26:11:1400,-7.2349,1.7354,2.2881,7.784
18:26:11:1520,-7.3746,0.8516,2.1878,7.739
18:26:11:1610,-7.5287,0.2236,2.3955,7.904
18:26:11:1719,-7.0454,-0.4676,2.7061,7.562
18:26:11:1800,-6.4593,-0.7759,3.5559,7.414
18:26:11:1920,-5.7505,-1.0495,4.3069,7.261
18:26:11:2010,-4.8357,-1.1283,4.6049,6.772
18:26:11:2120,-3.6634,-0.6581,4.5843,5.905
18:26:11:2250,-2.3050,0.1706,4.3600,4.935
18:26:11:2310,-1.4954,1.3574,3.7342,4.245
18:26:11:2410,-1.3252,2.1470,2.8879,3.835
18:26:11:2510,-1.2815,2.7052,0.9622,3.144
18:26:11:2600,-0.4807,2.4514,-0.0841,2.499
18:26:11:2720,1.3330,2.1008,-0.3146,2.508
18:26:11:2819,3.4385,2.1888,1.0692,4.214
18:26:11:2920,10.2581,2.7327,2.3748,10.878
18:26:11:3020,15.0851,2.8980,2.9534,15.642
18:26:11:3160,15.9538,2.3470,2.1656,16.270
18:26:11:3220,14.2979,0.7151,-0.4310,14.322
18:26:11:3330,11.2524,-1.2804,-2.1409,11.526
18:26:11:3400,10.0933,-2.8000,-3.5271,11.052
18:26:11:3520,7.1941,-4.1268,-3.7424,9.099
18:26:11:3620,5.6546,-4.8102,-3.4215,8.174
18:26:11:3710,3.9164,-5.7908,-2.3501,7.375
18:26:11:3810,2.5252,-6.6917,-1.0853,7.234
18:26:11:3920,0.9566,-7.6709,-0.1678,7.732
18:26:11:4010,0.7696,-7.8132,-0.0782,7.851
18:26:11:4130,-1.3531,-9.4477,-0.1860,9.546
18:26:11:4230,-2.8350,-11.0464,-0.5934,11.420
18:26:11:4330,-3.4349,-11.8829,-1.1234,12.420
18:26:11:4410,-3.8668,-12.5151,-0.8374,13.126
18:26:11:4510,-4.6225,-13.3656,-0.1134,14.143
18:26:11:4600,-4.3286,-13.6639,0.5154,14.342
18:26:11:4710,-3.2212,-13.4041,0.8519,13.812
18:26:11:4800,-3.5475,-12.7844,0.9189,13.299
18:26:11:4910,-3.7769,-12.0574,0.3204,12.639
18:26:11:5010,-4.8224,-11.6478,-0.6821,12.625
18:26:11:5110,-6.5494,-11.8458,-0.9946,13.572
18:26:11:5240,-7.8773,-12.0780,-0.6805,14.436
18:26:11:5320,-8.4744,-12.4451,0.2760,15.059
18:26:11:5420,-7.4169,-11.9995,1.3735,14.173
18:26:11:5520,-5.0170,-10.5995,2.5081,11.992
18:26:11:5600,-2.3496,-8.7248,2.8313,9.469
18:26:11:5740,1.6641,-5.2344,1.9252,5.820
18:26:11:5840,4.9769,-2.2702,0.3264,5.480
18:26:11:5910,5.1075,0.0238,-2.5175,5.694
18:26:11:6000,4.2172,1.0851,-4.0333,5.935
18:26:11:6120,4.5975,2.9747,-2.1496,5.883
18:26:11:6240,8.3755,6.0950,1.6671,10.492
18:26:11:6320,15.7483,9.7242,5.3640,19.270
18:26:11:6420,19.6408,12.9139,7.7011,24.735
18:26:11:6510,21.4370,15.7043,7.0970,27.505
18:26:11:6600,20.8181,16.2791,4.6814,26.839
18:26:11:6740,18.1920,16.1633,1.8377,24.404
18:26:11:6830,15.2703,15.3480,-0.2405,21.652
18:26:11:6909,10.6863,14.1210,-1.6977,17.790
18:26:11:7010,8.3287,13.2829,-1.5972,15.759
18:26:11:7120,8.3085,13.3099,-1.6412,15.776
18:26:11:7240,4.7999,12.2162,-1.3687,13.197
18:26:11:7320,2.1874,11.2884,-1.5594,11.604
18:26:11:7420,0.4830,10.5775,-1.6132,10.711
18:26:11:7520,-2.2863,9.6122,-0.0865,9.881
18:26:11:7620,-1.3678,8.3284,-0.8864,8.486
18:26:11:7710,-3.3060,7.5156,-0.0620,8.211
18:26:11:7800,-3.5311,7.3251,-0.6564,8.158
18:26:11:7910,-4.2743,6.3119,-0.8128,7.666
18:26:11:8010,-4.9042,5.2400,-0.8836,7.231
18:26:11:8120,-5.5234,3.9384,-0.7601,6.826
18:26:11:8200,-5.9266,2.8446,-0.4473,6.589
18:26:11:8320,-6.5303,1.2906,0.2896,6.663
18:26:11:8400,-6.8557,0.0499,1.1241,6.947
18:26:11:8510,-7.3225,-1.2994,2.4890,7.842
18:26:11:8610,-7.5028,-2.1836,3.3376,8.497
18:26:11:8720,-7.0592,-2.5308,4.0935,8.544
18:26:11:8810,-6.1315,-2.4114,4.3383,7.889
18:26:11:8920,-4.6840,-1.6799,3.8548,6.295
18:26:11:9000,-3.4280,-0.8471,2.6073,4.389
18:26:11:9120,-2.0786,-0.2740,1.8810,2.817
18:26:11:9260,-0.8424,-0.0758,2.3316,2.480
18:26:11:9320,-0.9994,-0.0206,3.4986,3.639
18:26:11:9430,-1.5761,-0.3904,3.5604,3.913
18:26:11:9510,-1.7357,-0.1926,3.5263,3.935
18:26:11:9600,-1.9158,0.1451,3.2189,3.749
18:26:11:9710,-1.5066,-0.0002,1.4575,2.096
18:26:11:9810,-0.4845,-0.4103,0.1576,0.654
18:26:11:9920,2.4321,-0.4082,-1.3630,2.818
18:26:12:0010,5.9965,0.0279,-1.4059,6.159
18:26:12:0130,9.7904,0.4879,-0.5759,9.819
18:26:12:0210,11.5620,-0.1400,0.5499,11.576
18:26:12:0330,10.7030,-2.0418,0.6876,10.918
18:26:12:0429,8.5593,-3.6606,-0.4328,9.319
18:26:12:0509,5.7324,-5.4564,-1.6739,8.089
18:26:12:0650,3.9502,-6.5835,-2.0106,7.937
18:26:12:0750,2.8193,-7.2032,-1.8503,7.954
18:26:12:0800,2.5566,-7.4664,-1.6539,8.063
18:26:12:0910,2.0541,-7.9431,-1.7548,8.390
18:26:12:1010,1.2877,-8.2859,-2.1603,8.659
18:26:12:1120,0.4578,-8.7271,-2.4191,9.068
18:26:12:1210,0.0388,-9.1010,-2.3959,9.411
18:26:12:1340,0.3758,-9.1338,-2.2418,9.412
18:26:12:1409,0.6236,-9.1746,-1.2670,9.283
